Test,Constraints,Property,Gen,Bio
A0,null,(1)*{cpd00004_c0_}[T] + (2)*{cpd00072_c0_}[T] + (2)*{cpd00079_c0_}[T] + (2)*{cpd00089_c0_}[T] + (1)*{cpd00095_c0_}[T] + (1)*{cpd00102_c0_}[T] + (2)*{cpd00290_c0_}[T] + (-1)*{cpd11621_c0_}[T] == (1)*{cpd00004_c0_}[Z] + (2)*{cpd00072_c0_}[Z] + (2)*{cpd00079_c0_}[Z] + (2)*{cpd00089_c0_}[Z] + (1)*{cpd00095_c0_}[Z] + (1)*{cpd00102_c0_}[Z] + (2)*{cpd00290_c0_}[Z] + (-1)*{cpd11621_c0_}[Z],TRUE,TRUE
A1,null,(1)*{cpd00004_c0_}[T] + (2)*{cpd00008_c0_}[T] + (2)*{cpd00020_c0_}[T] + (2)*{cpd00029_c0_}[T] + (-1)*{cpd00095_c0_}[T] + (-1)*{cpd00102_c0_}[T] + (-2)*{cpd00203_c0_}[T] + (-2)*{cpd00290_c0_}[T] + (1)*{cpd11621_c0_}[T] == (1)*{cpd00004_c0_}[Z] + (2)*{cpd00008_c0_}[Z] + (2)*{cpd00020_c0_}[Z] + (2)*{cpd00029_c0_}[Z] + (-1)*{cpd00095_c0_}[Z] + (-1)*{cpd00102_c0_}[Z] + (-2)*{cpd00203_c0_}[Z] + (-2)*{cpd00290_c0_}[Z] + (1)*{cpd11621_c0_}[Z],TRUE,TRUE
A2,null,(-1)*{cpd00001_c0_}[T] + (1)*{cpd00020_c0_}[T] + (1)*{cpd00061_c0_}[T] + (1)*{cpd11621_c0_}[T] == (-1)*{cpd00001_c0_}[Z] + (1)*{cpd00020_c0_}[Z] + (1)*{cpd00061_c0_}[Z] + (1)*{cpd11621_c0_}[Z],TRUE,TRUE
A3,null,(-3)*{cpd00004_c0_}[T] + (2)*{cpd00020_c0_}[T] + (2)*{cpd00067_c0_}[T] + (-1)*{cpd00095_c0_}[T] + (-1)*{cpd00102_c0_}[T] + (-2)*{cpd00290_c0_}[T] + (7)*{cpd11621_c0_}[T] == (-3)*{cpd00004_c0_}[Z] + (2)*{cpd00020_c0_}[Z] + (2)*{cpd00067_c0_}[Z] + (-1)*{cpd00095_c0_}[Z] + (-1)*{cpd00102_c0_}[Z] + (-2)*{cpd00290_c0_}[Z] + (7)*{cpd11621_c0_}[Z],TRUE,TRUE
A4,null,(2)*{cpd00002_c0_}[T] + (-1)*{cpd00004_c0_}[T] + (-2)*{cpd00020_c0_}[T] + (-2)*{cpd00029_c0_}[T] + (1)*{cpd00095_c0_}[T] + (1)*{cpd00102_c0_}[T] + (2)*{cpd00203_c0_}[T] + (2)*{cpd00290_c0_}[T] + (-1)*{cpd11621_c0_}[T] == (2)*{cpd00002_c0_}[Z] + (-1)*{cpd00004_c0_}[Z] + (-2)*{cpd00020_c0_}[Z] + (-2)*{cpd00029_c0_}[Z] + (1)*{cpd00095_c0_}[Z] + (1)*{cpd00102_c0_}[Z] + (2)*{cpd00203_c0_}[Z] + (2)*{cpd00290_c0_}[Z] + (-1)*{cpd11621_c0_}[Z],TRUE,TRUE
A5,null,(1)*{cpd00004_c0_}[T] + (1)*{cpd00009_c0_}[T] + (1)*{cpd00029_c0_}[T] == (1)*{cpd00004_c0_}[Z] + (1)*{cpd00009_c0_}[Z] + (1)*{cpd00029_c0_}[Z],TRUE,TRUE
A6,null,(1)*{cpd00022_c0_}[T] + (1)*{cpd00029_c0_}[T] == (1)*{cpd00022_c0_}[Z] + (1)*{cpd00029_c0_}[Z],TRUE,TRUE
A7,null,(1)*{cpd00010_c0_}[T] + (-1)*{cpd00029_c0_}[T] == (1)*{cpd00010_c0_}[Z] + (-1)*{cpd00029_c0_}[Z],TRUE,TRUE
A8,null,(1)*{cpd00001_c0_}[T] + (-1)*{cpd00004_c0_}[T] + (1)*{cpd00169_c0_}[T] + (1)*{cpd00203_c0_}[T] + (1)*{cpd00482_c0_}[T] == (1)*{cpd00001_c0_}[Z] + (-1)*{cpd00004_c0_}[Z] + (1)*{cpd00169_c0_}[Z] + (1)*{cpd00203_c0_}[Z] + (1)*{cpd00482_c0_}[Z],TRUE,TRUE
A9,null,(1)*{cpd11620_c0_}[T] + (1)*{cpd11621_c0_}[T] == (1)*{cpd11620_c0_}[Z] + (1)*{cpd11621_c0_}[Z],TRUE,TRUE
